timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
19:56:35,28,0,28,0,0,0,1,1,28,0,0,0,5
19:56:40,36,0,36,0,0,0,1,1,36,0,0,0,5
19:56:45,33,0,33,0,0,0,1,1,33,0,0,0,5
19:56:50,16,0,16,0,0,0,1,1,16,0,0,0,5
19:56:55,1,0,1,0,0,0,1,1,1,0,0,0,5
19:57:00,3,0,3,0,0,0,1,1,3,0,0,0,5
19:57:05,42,0,42,0,0,0,1,1,42,0,0,0,5
19:57:10,50,0,50,0,0,0,1,1,50,0,0,0,5
19:57:15,47,0,47,0,0,0,1,1,47,0,0,0,5
19:57:20,35,0,35,0,0,0,1,1,35,0,0,0,5
19:57:25,30,0,30,0,0,0,1,1,30,0,0,0,5
19:57:30,49,0,49,0,0,0,1,1,49,0,0,0,5
19:57:35,43,0,43,0,0,0,1,1,43,0,0,0,5
19:57:40,31,0,31,0,0,0,1,1,31,0,0,0,5
19:57:45,22,0,22,0,0,0,1,1,22,0,0,0,5
19:57:50,22,0,22,0,0,0,1,1,22,0,0,0,5
19:57:55,1,0,1,0,0,0,1,1,1,0,0,0,5
19:58:00,1,0,1,0,0,0,1,1,1,0,0,0,5
19:58:05,34,0,34,0,0,0,1,1,34,0,0,0,5
19:58:10,35,0,35,0,0,0,1,1,35,0,0,0,5
19:58:15,51,0,51,0,0,0,1,1,51,0,0,0,5
19:58:20,13,0,13,0,0,0,1,1,13,0,0,0,5
